Stimulus;VisualField;Pseudoword;Tapping;WordCategory;SubCategory;;;
hauchen;RVF;FALSE;TRUE;TRAINING;LEXICAL DECISION;;;
brummen;RVF;FALSE;TRUE;TRAINING;LEXICAL DECISION;;;
prautern;LVF;TRUE;TRUE;TRAINING;LEXICAL DECISION;;;
plaudern;RVF;FALSE;TRUE;TRAINING;LEXICAL DECISION;;;
schricken;LVF;TRUE;TRUE;TRAINING;LEXICAL DECISION;;;
nirmeln;RVF;TRUE;TRUE;TRAINING;LEXICAL DECISION;;;
nennen;LVF;FALSE;TRUE;TRAINING;LEXICAL DECISION;;;
saufen;LVF;FALSE;TRUE;TRAINING;LEXICAL DECISION;;;
murmeln;LVF;FALSE;TRUE;TRAINING;LEXICAL DECISION;;;
pfeifen;RVF;FALSE;TRUE;TRAINING;LEXICAL DECISION;;;
rellen;RVF;TRUE;TRUE;TRAINING;LEXICAL DECISION;;;
peifzen;LVF;TRUE;TRUE;TRAINING;LEXICAL DECISION;;;
zuschen;LVF;TRUE;TRUE;TRAINING;LEXICAL DECISION;;;
nagen;RVF;FALSE;TRUE;TRAINING;LEXICAL DECISION;;;
schlucken;LVF;FALSE;FALSE;TRAINING;LEXICAL DECISION;;;
rufen;LVF;FALSE;FALSE;TRAINING;LEXICAL DECISION;;;
singen;LVF;FALSE;FALSE;TRAINING;LEXICAL DECISION;;;
neten;LVF;TRUE;FALSE;TRAINING;LEXICAL DECISION;;;
preuten;LVF;TRUE;FALSE;TRAINING;LEXICAL DECISION;;;
gaupen;RVF;TRUE;FALSE;TRAINING;LEXICAL DECISION;;;
schmecken;LVF;FALSE;FALSE;TRAINING;LEXICAL DECISION;;;
potschen;LVF;TRUE;FALSE;TRAINING;LEXICAL DECISION;;;
äußern;LVF;FALSE;FALSE;TRAINING;LEXICAL DECISION;;;
eißern;RVF;TRUE;FALSE;TRAINING;LEXICAL DECISION;;;
kauen;RVF;FALSE;FALSE;TRAINING;LEXICAL DECISION;;;
lecken;RVF;FALSE;FALSE;TRAINING;LEXICAL DECISION;;;
schwatzen;RVF;FALSE;FALSE;TRAINING;LEXICAL DECISION;;;
lutschen;RVF;FALSE;FALSE;TRAINING;LEXICAL DECISION;;;
drullen;LVF;TRUE;FALSE;TRAINING;LEXICAL DECISION;;;
seufzen;LVF;FALSE;TRUE;TRAINING;LEXICAL DECISION;;;
stottern;LVF;FALSE;TRUE;TRAINING;LEXICAL DECISION;;;
krüstern;RVF;TRUE;TRUE;TRAINING;LEXICAL DECISION;;;
flüstern;LVF;FALSE;TRUE;TRAINING;LEXICAL DECISION;;;
zöngen;RVF;TRUE;TRUE;TRAINING;LEXICAL DECISION;;;
sicken;LVF;TRUE;TRUE;TRAINING;LEXICAL DECISION;;;
quiegen;RVF;TRUE;TRUE;TRAINING;LEXICAL DECISION;;;
rusten;LVF;TRUE;TRUE;TRAINING;LEXICAL DECISION;;;
pusten;RVF;FALSE;TRUE;TRAINING;LEXICAL DECISION;;;
saugen;RVF;FALSE;TRUE;TRAINING;LEXICAL DECISION;;;
quieken;LVF;FALSE;TRUE;TRAINING;LEXICAL DECISION;;;
pruchen;RVF;TRUE;TRUE;TRAINING;LEXICAL DECISION;;;
schmicken;RVF;TRUE;TRUE;TRAINING;LEXICAL DECISION;;;
schrutzen;RVF;TRUE;TRUE;TRAINING;LEXICAL DECISION;;;
peifen;RVF;TRUE;FALSE;TRAINING;LEXICAL DECISION;;;
kumen;LVF;TRUE;FALSE;TRAINING;LEXICAL DECISION;;;
zischen;RVF;FALSE;FALSE;TRAINING;LEXICAL DECISION;;;
klotteln;RVF;TRUE;FALSE;TRAINING;LEXICAL DECISION;;;
geuen;LVF;TRUE;FALSE;TRAINING;LEXICAL DECISION;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
