Stimulus;VisualField;Pseudoword;Tapping;WordCategory;SubCategory
schrutzen;LVF;TRUE;TRUE;TRAINING;LEXICAL DECISION
piben;RVF;TRUE;TRUE;TRAINING;LEXICAL DECISION
gricken;RVF;TRUE;TRUE;TRAINING;LEXICAL DECISION
tragen;LVF;FALSE;TRUE;TRAINING;LEXICAL DECISION
greifen;RVF;FALSE;TRUE;TRAINING;LEXICAL DECISION
gohren;RVF;TRUE;TRUE;TRAINING;LEXICAL DECISION
hinken;LVF;FALSE;TRUE;TRAINING;LEXICAL DECISION
messen;LVF;FALSE;TRUE;TRAINING;LEXICAL DECISION
zeigen;RVF;FALSE;TRUE;TRAINING;LEXICAL DECISION
falten;LVF;FALSE;TRUE;TRAINING;LEXICAL DECISION
hetzen;RVF;FALSE;TRUE;TRAINING;LEXICAL DECISION
kieven;LVF;TRUE;TRUE;TRAINING;LEXICAL DECISION
nissen;LVF;TRUE;TRUE;TRAINING;LEXICAL DECISION
wickeln;LVF;FALSE;TRUE;TRAINING;LEXICAL DECISION
streunen;RVF;FALSE;TRUE;TRAINING;LEXICAL DECISION
tippen;LVF;FALSE;TRUE;TRAINING;LEXICAL DECISION
meißeln;RVF;FALSE;TRUE;TRAINING;LEXICAL DECISION
praddeln;RVF;TRUE;TRUE;TRAINING;LEXICAL DECISION
klatschen;RVF;FALSE;TRUE;TRAINING;LEXICAL DECISION
pelen;RVF;TRUE;TRUE;TRAINING;LEXICAL DECISION
sortieren;LVF;FALSE;TRUE;TRAINING;LEXICAL DECISION
pretzeln;RVF;TRUE;TRUE;TRAINING;LEXICAL DECISION
krossen;RVF;TRUE;TRUE;TRAINING;LEXICAL DECISION
puchen;RVF;TRUE;FALSE;TRAINING;LEXICAL DECISION
werfen;RVF;FALSE;FALSE;TRAINING;LEXICAL DECISION
kießeln;LVF;TRUE;FALSE;TRAINING;LEXICAL DECISION
ziehen;LVF;FALSE;FALSE;TRAINING;LEXICAL DECISION
kütscheln;LVF;TRUE;FALSE;TRAINING;LEXICAL DECISION
nuppen;LVF;TRUE;FALSE;TRAINING;LEXICAL DECISION
glicken;RVF;TRUE;FALSE;TRAINING;LEXICAL DECISION
lahmen;LVF;FALSE;FALSE;TRAINING;LEXICAL DECISION
kehren;LVF;FALSE;FALSE;TRAINING;LEXICAL DECISION
schnitzen;RVF;FALSE;FALSE;TRAINING;LEXICAL DECISION
schünen;LVF;TRUE;FALSE;TRAINING;LEXICAL DECISION
pähnen;LVF;TRUE;FALSE;TRAINING;LEXICAL DECISION
itnen;LVF;TRUE;FALSE;TRAINING;LEXICAL DECISION
geuchen;RVF;TRUE;FALSE;TRAINING;LEXICAL DECISION
sammeln;RVF;FALSE;FALSE;TRAINING;LEXICAL DECISION
ernten;RVF;FALSE;FALSE;TRAINING;LEXICAL DECISION
pieten;RVF;TRUE;FALSE;TRAINING;LEXICAL DECISION
dexen;LVF;TRUE;FALSE;TRAINING;LEXICAL DECISION
mischen;RVF;FALSE;FALSE;TRAINING;LEXICAL DECISION
basteln;RVF;FALSE;FALSE;TRAINING;LEXICAL DECISION
schlagen;LVF;FALSE;FALSE;TRAINING;LEXICAL DECISION
spoßen;LVF;TRUE;FALSE;TRAINING;LEXICAL DECISION
pömmern;RVF;TRUE;FALSE;TRAINING;LEXICAL DECISION
heften;LVF;FALSE;FALSE;TRAINING;LEXICAL DECISION
krütten;LVF;TRUE;FALSE;TRAINING;LEXICAL DECISION
